,en_Manchester Arena bombing,ar_Manchester Arena bombing,en_Israel–Hamas war,ar_Israel–Hamas war,he_Israel–Hamas war,en_Charlie Hebdo shooting,ar_Charlie Hebdo shooting,fr_Charlie Hebdo shooting,date
2635,,,,,,1870,53,758,2015-07-01
2636,,,,,,1695,53,1071,2015-07-02
2637,,,,,,1680,56,780,2015-07-03
2638,,,,,,1336,52,638,2015-07-04
2639,,,,,,1527,56,691,2015-07-05
2640,,,,,,1674,60,652,2015-07-06
2641,,,,,,1846,57,1013,2015-07-07
2642,,,,,,1647,58,692,2015-07-08
2643,,,,,,1694,45,714,2015-07-09
2644,,,,,,1428,45,635,2015-07-10
2645,,,,,,1342,52,523,2015-07-11
2646,,,,,,1476,84,649,2015-07-12
2647,,,,,,2003,39,677,2015-07-13
2648,,,,,,1637,54,839,2015-07-14
2649,,,,,,2180,48,634,2015-07-15
2650,,,,,,1839,35,946,2015-07-16
2651,,,,,,1729,46,697,2015-07-17
2652,,,,,,1883,57,675,2015-07-18
2653,,,,,,2044,60,646,2015-07-19
2654,,,,,,2076,78,673,2015-07-20
2655,,,,,,1713,71,632,2015-07-21
2656,,,,,,1695,84,711,2015-07-22
2657,,,,,,1755,57,641,2015-07-23
2658,,,,,,1638,47,587,2015-07-24
2659,,,,,,1438,35,2096,2015-07-25
2660,,,,,,1667,36,714,2015-07-26
2661,,,,,,1619,30,569,2015-07-27
2662,,,,,,1601,31,599,2015-07-28
2663,,,,,,1535,27,595,2015-07-29
2664,,,,,,1416,36,470,2015-07-30
2665,,,,,,1244,45,446,2015-07-31
2666,,,,,,1048,43,568,2015-08-01
2667,,,,,,1201,45,559,2015-08-02
2668,,,,,,1246,31,497,2015-08-03
2669,,,,,,1319,37,633,2015-08-04
2670,,,,,,1334,35,555,2015-08-05
2671,,,,,,1353,56,570,2015-08-06
2672,,,,,,1292,34,1685,2015-08-07
2673,,,,,,1083,46,714,2015-08-08
2674,,,,,,1509,42,644,2015-08-09
2675,,,,,,1483,32,586,2015-08-10
2676,,,,,,1564,41,602,2015-08-11
2677,,,,,,1426,25,592,2015-08-12
2678,,,,,,1545,40,647,2015-08-13
2679,,,,,,1430,51,712,2015-08-14
2680,,,,,,1216,74,813,2015-08-15
2681,,,,,,1469,47,597,2015-08-16
2682,,,,,,1469,48,615,2015-08-17
2683,,,,,,1579,37,706,2015-08-18
2684,,,,,,2465,64,786,2015-08-19
2685,,,,,,1604,29,598,2015-08-20
2686,,,,,,1943,29,922,2015-08-21
2687,,,,,,2684,53,888,2015-08-22
2688,,,,,,2357,53,875,2015-08-23
2689,,,,,,2253,57,980,2015-08-24
2690,,,,,,1916,47,833,2015-08-25
2691,,,,,,2118,39,807,2015-08-26
2692,,,,,,1854,52,735,2015-08-27
2693,,,,,,1694,27,582,2015-08-28
2694,,,,,,1399,46,742,2015-08-29
2695,,,,,,1630,36,700,2015-08-30
2696,,,,,,1642,43,698,2015-08-31
2697,,,,,,1591,40,733,2015-09-01
2698,,,,,,1740,27,846,2015-09-02
2699,,,,,,1581,54,761,2015-09-03
2700,,,,,,1339,45,769,2015-09-04
2701,,,,,,1391,44,876,2015-09-05
2702,,,,,,1671,29,910,2015-09-06
2703,,,,,,1746,32,805,2015-09-07
2704,,,,,,1807,25,905,2015-09-08
2705,,,,,,1915,30,1104,2015-09-09
2706,,,,,,1997,31,1071,2015-09-10
2707,,,,,,2500,46,1413,2015-09-11
2708,,,,,,1952,50,1113,2015-09-12
2709,,,,,,2142,41,1226,2015-09-13
2710,,,,,,2959,77,1178,2015-09-14
2711,,,,,,3174,143,1265,2015-09-15
2712,,,,,,2465,91,1143,2015-09-16
2713,,,,,,2116,75,972,2015-09-17
2714,,,,,,1838,78,964,2015-09-18
2715,,,,,,1600,52,860,2015-09-19
2716,,,,,,2048,45,1041,2015-09-20
2717,,,,,,2069,44,1069,2015-09-21
2718,,,,,,2163,39,953,2015-09-22
2719,,,,,,2015,31,1115,2015-09-23
2720,,,,,,2713,25,1071,2015-09-24
2721,,,,,,1933,30,897,2015-09-25
2722,,,,,,1626,34,1439,2015-09-26
2723,,,,,,1857,57,1361,2015-09-27
2724,,,,,,1831,56,1821,2015-09-28
2725,,,,,,1780,27,1163,2015-09-29
2726,,,,,,2567,62,1188,2015-09-30
2727,,,,,,2012,40,1129,2015-10-01
2728,,,,,,1926,52,937,2015-10-02
2729,,,,,,1536,43,856,2015-10-03
2730,,,,,,1968,26,1070,2015-10-04
2731,,,,,,2140,28,1043,2015-10-05
